"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Melbourne","","","336.06","16-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","16 Mar 17 - Melbourne","","","368.11","16-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","20 Mar 17 - Melbourne","","","179.47","20-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Canberra","","","40.00","23-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","23 Mar 17 - Melbourne","","","146.10","23-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2017","","","","27 Mar 17 - Melbourne","","","168.99","27-Mar-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","30 Jan 17","","","50.92","30-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","10 Feb 17","","","48.62","10-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Car Costs","Cabcharge","From 1 January 2017","","","","18 Feb 17","","","61.19","18-Feb-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2017","","","","Aggregated Total","","","25,891.68","01-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2017","","","","Aggregated Total","","","10,810.87","01-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Office requisites and stationery 1 Jan to 31 Jan 17","","","203.67","31-Jan-2017","",""
"Richard Marles","Representative","Corio","Victoria","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2017","","","","Flags 1 Jan to 31 Jan 17","","","1,467.51","31-Jan-2017","",""
