"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Amount","Date","Notes","Type"
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","4 Gold Coast Bulletin (Sat) 1 Feb to 28 Feb 17","","","8.00","28-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2017","","","","4 The Weekend Australian 1 Feb to 28 Feb 17","","","12.73","28-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","17 Gold Coast Bulletin 1 Dec to 31 Dec 16","","","21.64","31-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","17 The Australian 1 Dec to 31 Dec 16","","","41.73","31-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","3 The Weekend Australian 1 Dec to 31 Dec 16","","","9.55","31-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2017","","","","3 Gold Coast Bulletin (Sat) 1 Dec to 31 Dec 16","","","6.00","31-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 21 Jan 17","","","288.89","21-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 21 Jan 17","","","37.59","21-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 21 Feb 17","","","363.45","21-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 21 Feb 17","","","37.95","21-Feb-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office phones 21 Mar 17","","","363.95","21-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","From 1 January 2017","","","","Office fax 21 Mar 17","","","37.72","21-Mar-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","Before 1 January 2017","","","","Office phones 21 Dec 16","","","297.63","21-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Usage","Before 1 January 2017","","","","Office fax 21 Dec 16","","","38.14","21-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Residential phones 30 Jan 17","","","84.65","30-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","From 1 January 2017","","","","Dedicated data line 30 Jan 17","","","136.36","30-Jan-2017","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","","","","Residential phones 30 Dec 16","","","88.17","30-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Telecommunications","Telecommunications - Residential - Official","Before 1 January 2017","","","","Dedicated data line 30 Dec 16","","","1,618.18","30-Dec-2016","",""
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","1,726.16","01-Jan-2017","","OS Ministerial - Accommodation and meals"
"Stuart Robert","Representative","Fadden","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2017","","","","","","","2,028.81","01-Jan-2017","","OS Ministerial - Ground transport"
